Village,District,Nitrogen,Phosphorus,Potassium,pH,Temperature,Humidity,Rainfall,Recommended_Crop,RF_Predicted_Crop,Fertilizer_Advisory
manalmedu,Mayiladuthurai,30.0,75.0,36.43,7.0,28.38,76.89,1158.43,Paddy,Paddy,Urea: 50kg/Acre
Mannampandal,Mayiladuthurai,30.0,75.0,40.0,7.0,30.01,77.66,1156.85,Paddy,Paddy,Urea: 50kg/Acre
Maraiyur,Mayiladuthurai,30.0,75.0,40.0,7.0,28.28,79.58,1249.44,Paddy,Paddy,Urea: 50kg/Acre
Mayiladuthurai,Mayiladuthurai,30.0,73.37,44.16,7.0,30.25,78.5,1111.43,Paddy,Paddy,Urea: 50kg/Acre
Melanallur,Mayiladuthurai,30.0,75.0,40.0,7.0,28.15,71.16,1019.53,Banana,Banana,Urea: 50kg/Acre
Mozhaiyur,Mayiladuthurai,30.0,69.0,40.0,7.0,28.0,73.03,1115.51,Paddy,Paddy,Urea: 50kg/Acre
Mudikandanallur,Mayiladuthurai,30.0,75.0,30.0,7.0,31.23,73.93,1108.41,Paddy,Paddy,Urea: 50kg/Acre
Murugamangalam,Mayiladuthurai,30.0,72.0,37.5,7.0,28.03,79.79,1033.46,Banana,Banana,Urea: 50kg/Acre
Muvalur,Mayiladuthurai,30.0,75.0,42.78,7.0,28.7,73.74,1190.4,Paddy,Paddy,Urea: 50kg/Acre
Nallathukudi,Mayiladuthurai,30.0,75.0,37.22,7.0,28.87,79.66,1027.43,Banana,Banana,Urea: 50kg/Acre
Namasivayapuram,Mayiladuthurai,30.0,75.0,43.0,7.0,31.3,78.26,1171.18,Paddy,Paddy,Urea: 50kg/Acre
Nidur,Mayiladuthurai,30.0,75.0,40.0,7.0,30.25,79.64,1170.69,Paddy,Paddy,Urea: 50kg/Acre
Pandaravadaimappadugai,Mayiladuthurai,30.0,60.0,49.3,7.0,29.5,72.14,1235.18,Paddy,Paddy,Urea: 50kg/Acre
Pandur,Mayiladuthurai,30.0,75.0,40.0,7.0,28.8,71.03,1159.03,Paddy,Paddy,Urea: 50kg/Acre
Pattamangalam,Mayiladuthurai,30.0,75.0,40.62,7.0,30.39,74.65,1008.87,Banana,Banana,Urea: 50kg/Acre
Pattavarthi,Mayiladuthurai,30.0,75.0,40.62,7.0,31.0,78.96,1240.9,Paddy,Paddy,Urea: 50kg/Acre
Ponmasanallur,Mayiladuthurai,30.0,75.0,40.0,7.0,30.0,72.35,1206.86,Paddy,Paddy,Urea: 50kg/Acre
Ponnur,Mayiladuthurai,30.0,75.0,40.0,7.0,30.0,70.44,1192.1,Paddy,Paddy,Urea: 50kg/Acre
Serudiyur,Mayiladuthurai,34.44,71.67,37.22,7.0,30.48,74.19,1055.87,Banana,Banana,Urea: 50kg/Acre
Sethur,Mayiladuthurai,30.0,75.0,40.0,7.0,30.4,70.31,1212.01,Pulses,Pulses,Urea: 50kg/Acre
Sholampettai,Mayiladuthurai,30.0,75.0,40.0,7.0,29.9,77.74,1209.51,Paddy,Paddy,Urea: 50kg/Acre
Siddamalli,Mayiladuthurai,30.0,75.0,37.22,7.0,30.26,77.55,1068.13,Banana,Banana,Urea: 50kg/Acre
Sitharkadu,Mayiladuthurai,30.0,75.0,33.75,7.0,28.04,75.7,1127.93,Paddy,Paddy,Urea: 50kg/Acre
Talainayar,Mayiladuthurai,30.0,56.48,57.7,7.0,28.72,73.78,1009.37,Banana,Banana,Urea: 50kg/Acre | DAP: 50kg/Acre
Talainayar II Bit,Mayiladuthurai,30.0,61.8,64.1,7.0,30.21,72.06,1053.56,Banana,Banana,Urea: 50kg/Acre
Thalancheri,Mayiladuthurai,30.0,75.0,43.5,7.0,30.16,72.35,1171.85,Paddy,Paddy,Urea: 50kg/Acre
Thiruindalur,Mayiladuthurai,30.0,75.0,40.0,7.0,30.25,77.46,1002.97,Banana,Banana,Urea: 50kg/Acre
Thirumangalam,Mayiladuthurai,30.0,75.0,40.0,7.0,30.17,77.61,1146.31,Paddy,Paddy,Urea: 50kg/Acre
Thiruvalaputhur,Mayiladuthurai,30.0,75.0,40.0,7.0,31.43,77.22,1019.71,Sugarcane,Banana,Urea: 50kg/Acre
Tiruchitrambalam,Mayiladuthurai,30.0,33.15,38.95,7.01,29.26,70.87,1249.13,Paddy,Paddy,Urea: 50kg/Acre | DAP: 50kg/Acre
Uluthakuppai,Mayiladuthurai,30.0,75.0,40.0,7.0,29.05,71.14,1031.57,Banana,Banana,Urea: 50kg/Acre
Varadampattu,Mayiladuthurai,30.0,72.69,34.23,7.0,30.05,73.8,1003.93,Banana,Banana,Urea: 50kg/Acre
Vellalar agaram,Mayiladuthurai,30.0,75.0,40.0,7.0,30.92,76.85,1110.42,Paddy,Paddy,Urea: 50kg/Acre
Villiyanallur,Mayiladuthurai,30.0,75.0,40.0,7.0,31.12,75.5,1150.42,Paddy,Paddy,Urea: 50kg/Acre
